Latitude,Longitude,Distance,CropType,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B10,B11,B12
42.978599254901965,-81.5210640392157,28,"Wheat - Winter",93,79,76,86,103,133,155,148,176,44,1,216,135
42.97887376470589,-81.52133854901962,17,"Wheat - Winter",94,86,85,103,117,151,176,166,191,41,1,235,157
42.97887376470589,-81.5210640392157,28,"Wheat - Winter",93,84,83,99,115,149,173,163,190,44,1,232,150
42.9816188627451,-81.52133854901962,29,"Corn",86,68,65,47,76,186,224,216,237,51,1,151,70
42.9816188627451,-81.5210640392157,30,"Corn",87,67,65,47,79,184,229,227,236,53,1,160,69
42.981893372549024,-81.52133854901962,15,"Corn",85,67,62,43,70,163,210,205,232,53,1,138,57
42.981893372549024,-81.5210640392157,17,"Corn",86,68,64,45,74,180,227,217,236,53,1,146,61
42.98244239215687,-81.52682874509804,19,"Wheat - Winter",84,64,56,36,58,214,239,238,241,60,1,131,55
42.98244239215687,-81.52655423529413,19,"Wheat - Winter",84,62,54,35,56,168,226,197,235,60,1,108,46
42.982716901960785,-81.52682874509804,24,"Wheat - Winter",84,62,54,32,56,236,244,243,246,60,1,147,61
42.982716901960785,-81.52655423529413,25,"Wheat - Winter",84,63,55,35,59,215,239,240,241,60,1,133,57
42.982716901960785,-81.52326011764707,29,"Wheat - Winter",87,69,70,47,87,203,236,236,238,54,1,178,84
42.98299141176471,-81.52353462745099,29,"Wheat - Winter",92,86,86,110,125,156,190,175,211,47,1,233,144
42.98299141176471,-81.52326011764707,2,"Wheat - Winter",91,79,78,88,104,154,186,161,207,47,1,211,124
42.98299141176471,-81.52298560784315,32,"Wheat - Winter",91,72,72,60,94,182,215,214,235,47,1,192,110
42.98326592156863,-81.52326011764707,32,"Wheat - Winter",91,81,82,98,113,149,171,170,195,47,1,222,139
42.98518749019608,-81.52627972549021,27,"Wheat - Winter",85,75,72,79,90,151,199,172,213,53,1,178,106
42.98518749019608,-81.52600521568628,18,"Wheat - Winter",91,86,86,105,112,146,174,163,194,45,1,223,141
42.985462000000005,-81.52627972549021,26,"Wheat - Winter",85,62,55,38,60,168,235,235,237,53,1,127,64
42.985462000000005,-81.52600521568628,17,"Wheat - Winter",91,76,74,82,90,153,195,179,223,45,1,179,106
42.98573650980393,-81.53149541176471,28,"Wheat - Winter",82,61,51,31,44,171,237,236,239,56,1,94,35
42.98573650980393,-81.5312209019608,34,"Wheat - Winter",82,61,51,32,44,172,237,236,239,54,1,94,35
42.986011019607844,-81.53149541176471,10,"Wheat - Winter",82,61,52,31,45,172,237,236,239,56,1,95,36
42.986011019607844,-81.5312209019608,22,"Wheat - Winter",82,61,52,32,45,170,237,236,239,54,1,94,35
42.98683454901961,-81.52682874509804,31,"Soybean",82,62,53,32,48,185,238,237,240,58,1,96,35
42.98683454901961,-81.52655423529413,34,"Soybean",82,62,54,33,48,185,238,237,240,58,1,96,35
42.987109058823535,-81.52682874509804,13,"Soybean",82,61,53,31,48,184,238,237,240,58,1,94,34
42.987109058823535,-81.52655423529413,18,"Soybean",82,61,53,32,48,185,238,237,240,58,1,96,35
42.98738356862746,-81.52847580392158,18,"Soybean",82,61,54,31,47,187,238,237,240,59,1,96,35
42.98738356862746,-81.52820129411765,35,"Soybean",82,62,53,32,47,186,238,237,239,59,1,95,34
42.98738356862746,-81.52682874509804,35,"Soybean",82,61,53,32,47,187,239,237,240,59,1,94,34
42.98765807843137,-81.53424050980394,14,"Corn",81,61,52,32,46,175,238,237,239,57,1,91,34
42.98765807843137,-81.533966,32,"Corn",81,61,52,32,45,173,238,236,239,57,1,91,34
42.98765807843137,-81.53039737254903,33,"Soybean",82,61,53,32,47,191,240,239,242,63,1,95,34
42.98765807843137,-81.5301228627451,28,"Soybean",82,61,52,32,48,194,240,239,242,63,1,96,35
42.98765807843137,-81.5287503137255,34,"Soybean",82,61,53,32,47,184,238,237,240,59,1,96,35
42.98765807843137,-81.52847580392158,13,"Soybean",82,61,53,32,47,186,238,237,240,59,1,96,35
42.98765807843137,-81.52820129411765,33,"Soybean",82,62,53,32,47,185,238,237,239,59,1,95,35
42.987932588235296,-81.53424050980394,17,"Corn",83,61,51,32,46,174,238,236,239,55,1,91,34
42.987932588235296,-81.533966,33,"Corn",83,61,52,32,47,174,237,237,239,55,1,91,35
42.987932588235296,-81.53039737254903,21,"Soybean",82,62,53,32,47,192,240,239,242,64,1,96,34
42.987932588235296,-81.5301228627451,11,"Soybean",82,62,53,33,49,195,240,239,242,64,1,97,35
42.99671690196079,-81.54137776470589,24,"Corn",96,84,83,90,106,150,172,165,191,41,1,220,178
42.99671690196079,-81.54110325490197,16,"Corn",96,83,81,85,106,148,173,166,192,41,1,218,179
42.99699141176471,-81.54137776470589,28,"Corn",96,89,89,99,108,155,178,174,199,41,1,207,169
42.99699141176471,-81.54110325490197,21,"Corn",96,86,88,95,112,155,181,171,198,41,1,226,187
42.99863847058824,-81.54412286274511,32,"Wheat - Winter",89,61,53,31,59,235,243,244,245,57,1,152,72
42.99891298039216,-81.54439737254903,21,"Wheat - Winter",83,62,54,32,55,236,245,244,247,69,1,153,63
42.99891298039216,-81.54412286274511,9,"Wheat - Winter",83,61,53,31,56,236,245,244,247,69,1,152,65
42.999187490196086,-81.54412286274511,32,"Wheat - Winter",83,62,54,31,56,236,244,244,247,69,1,151,64
43.00110905882353,-81.547966,28,"Soybean",82,61,53,30,56,237,246,244,248,80,1,152,60
43.00110905882353,-81.54769149019609,29,"Soybean",82,61,53,30,54,237,246,244,248,80,1,153,59
43.00138356862745,-81.547966,16,"Soybean",82,60,53,30,55,237,246,245,249,80,1,153,59
43.00138356862745,-81.54769149019609,17,"Soybean",82,60,53,30,54,237,246,245,249,80,1,155,59
43.00220709803922,-81.58420129411765,28,"Soybean",83,63,56,33,52,204,240,238,241,60,1,103,37
